epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,2676.61,0.36968,0.52752,0.37155,0.94047,0.86535,0.74385,0.79889,0.69121,0.83916,0.76233,0.79773,0.674,0.61141,1.2044,0.91329,0.96121,0.000218,0.000218,0.000218
92,2705.55,0.34477,0.4925,0.27796,0.92578,0.83638,0.76626,0.82928,0.72731,0.83845,0.76816,0.83149,0.7076,0.58414,1.16201,0.8765,0.93732,0.0001982,0.0001982,0.0001982
93,2732.54,0.35297,0.51022,0.28735,0.92984,0.83235,0.77609,0.82246,0.72408,0.83438,0.77799,0.82498,0.70401,0.58494,1.14015,0.90628,0.92824,0.0001784,0.0001784,0.0001784
94,2759.25,0.38113,0.5895,0.29079,0.98834,0.85259,0.78368,0.8309,0.73174,0.85259,0.78368,0.83398,0.71376,0.58269,1.12728,0.86694,0.9322,0.0001586,0.0001586,0.0001586
95,2785.96,0.34243,0.51336,0.3659,0.92658,0.86896,0.76091,0.8314,0.73113,0.86896,0.76091,0.83388,0.71237,0.58671,1.13268,0.86934,0.94539,0.0001388,0.0001388,0.0001388
96,2812.24,0.36806,0.5474,0.30073,0.95542,0.88506,0.73624,0.82971,0.72955,0.88506,0.73624,0.83367,0.70759,0.57766,1.18249,0.87333,0.93229,0.000119,0.000119,0.000119
97,2838.17,0.33175,0.47329,0.25876,0.90997,0.85374,0.76423,0.83366,0.72997,0.85374,0.76423,0.83458,0.71199,0.58956,1.19533,0.88403,0.93669,9.92e-05,9.92e-05,9.92e-05
98,2864.59,0.33829,0.52844,0.29402,0.92715,0.8887,0.7424,0.83459,0.73806,0.8887,0.7424,0.83672,0.71488,0.5802,1.1994,0.86859,0.9339,7.94e-05,7.94e-05,7.94e-05
99,2891.01,0.31837,0.48454,0.25005,0.90995,0.90878,0.7373,0.83966,0.73977,0.90878,0.7373,0.84075,0.71512,0.57534,1.18618,0.85222,0.92552,5.96e-05,5.96e-05,5.96e-05
100,2917.64,0.31883,0.46298,0.25709,0.90578,0.89339,0.73435,0.83822,0.7405,0.89339,0.73435,0.84023,0.72142,0.57071,1.19256,0.8482,0.92912,3.98e-05,3.98e-05,3.98e-05
